"","uid","majority_label","entropy","old_label","n","e","c","ground_truth","hypothesis","premise"
"1","2407214681.jpg#0r1n","n",0.881290899230693,"n",70,30,0,"n","Two kids at a ballgame wash their hands.","Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink."
"2","4718146904.jpg#2r1n","n",0.387444919154476,"n",94,3,3,"n","A man selling donuts to a customer during a world exhibition event while people wait in line behind him.","A man selling donuts to a customer during a world exhibition event held in the city of Angeles"
"3","3980085662.jpg#0r1e","e",0.141440542541821,"e",2,98,0,"e","boys play football","Two young boys of opposing teams play football, while wearing full protection uniforms and helmets."
"4","24467676.jpg#1r1e","e",0.141440542541821,"e",0,98,2,"e","A man is wearing a blue shirt","A man in a blue shirt standing in front of a garage-like structure painted with geometric designs."
"5","3667788497.jpg#0r1e","e",0,"e",0,100,0,"e","A child is reaching to touch the propeller of a plane.","Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass."
"6","3948003394.jpg#1r1n","n",0.876043894656111,"c",77,2,21,"n","A woman is doing a cartwheel and falls on her head.","A woman is doing a cartwheel while wearing a bikini in the sand next to the beach."
"7","530472459.jpg#4r1n","n",0.855012029664487,"n",76,1,23,"n","boy leaving baseball game","A young boy in a field of flowers carrying a ball"
"8","173499538.jpg#2r1e","c",0.366446264453378,"c",1,5,94,"e","People are waiting in line at a restaurant.","Families waiting in line at an amusement park for their turn to ride."
"9","3261712960.jpg#0r1c","n",1.44261414134284,"c",55,22,23,"c","A single man is next to a camera","At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera."
"10","3261712960.jpg#0r1n","n",1.08176823628459,"n",65,3,32,"n","A crowd is dancing","At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera."
"11","3261712960.jpg#0r1e","e",1.44544177629776,"n",36,49,15,"e","A crowd is in front of a camera","At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera."
"12","5964395383.jpg#1r1n","n",0.682398943641963,"n",87,8,5,"n","a blond man laughs while doing laundry","A older gentleman finds it humorous that he is getting his picture taken while doing his laundry."
"13","2915400809.jpg#0r1n","n",0.468995593589281,"n",90,10,0,"n","An Indian woman is doing laundry for her son in the lake.","An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake."
"14","6291644661.jpg#2r1e","e",0.68007704572828,"e",18,82,0,"e","The man stumbles stumbles in rollerskates.","A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him."
"15","1257692349.jpg#2r1c","c",1.05844358890056,"c",43,1,56,"c","A boy does a card trick.","A group of onlookers glance at a person doing a strange trick on her head."
"16","3168293517.jpg#2r1n","n",0.637957870336228,"n",87,11,2,"n","Boy dressed in blue carrying toy to a toybox.","A little boy in a blue shirt holding a toy."
"17","2537197415.jpg#3r1n","n",0.981453895033654,"e",58,42,0,"n","The baby is wet.","A baby at the end of a slip and slide at a party"
"18","3208032657.jpg#2r1n","e",0.757991187178562,"e",18,81,1,"n","a worker cleans near the pool","A person powerwashing stairs leading down to a pool."
"19","4951185210.jpg#0r1e","e",0.575160186084823,"e",9,89,2,"e","Children were looking at a bike.","Two black little boys hanging over an upside down bicycle, one examining the pedal."
"20","4951185210.jpg#0r1n","n",0.541188403078018,"n",90,8,2,"n","the children are outside.","Two black little boys hanging over an upside down bicycle, one examining the pedal."
